,Position,Artist,Streams,URL,Year,Month,Day,Track Name
105,106,Petit Biscuit,4385053,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1,2016,12,30,Sunset Lover
106,107,Drake,4283490,https://open.spotify.com/track/4ckuS4Nj4FZ7i3Def3Br8W,2016,12,30,Sneakin’
107,108,The Weeknd,4275228,https://open.spotify.com/track/4mU5iXHeLgbR94siF7p1sY,2016,12,30,Six Feet Under
108,109,21 Savage,4257945,https://open.spotify.com/track/4gmmRb6bZJffOOiww1JGTO,2016,12,30,No Heart
109,110,The Pogues,4245077,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK,2016,12,30,Fairytale of New York (feat. Kirsty MacColl)
110,111,Pentatonix,4164977,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx,2016,12,30,Hallelujah
111,112,DJ Snake,4147726,https://open.spotify.com/track/4OZEu0Vwq0RB2LAq14v99n,2016,12,30,Middle
112,113,Vice,4145668,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA,2016,12,30,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)
113,114,FRENSHIP,4112369,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco,2016,12,30,Capsize
114,115,Ariana Grande,4112003,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0,2016,12,30,Into You
115,116,Kungs,4060819,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD,2016,12,30,This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners
116,117,MC G15,4054555,https://open.spotify.com/track/0EPxmvsG1BY5td4aTOkWBF,2016,12,30,Deu Onda
117,118,Enrique Iglesias,4053683,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf,2016,12,30,DUELE EL CORAZON
118,119,Andy Grammer,4008319,https://open.spotify.com/track/4nMlau89VAjmV7agkl7OY3,2016,12,30,Fresh Eyes
119,120,J. Cole,4005289,https://open.spotify.com/track/0utlOiJy2weVl9WTkcEWHy,2016,12,30,Neighbors
120,121,Childish Gambino,3870641,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y,2016,12,30,Redbone
121,122,Bebe Rexha,3863605,https://open.spotify.com/track/1FUViuNSldssMIawrOXF2i,2016,12,30,I Got You
122,123,Ed Sheeran,3836919,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,2016,12,30,Photograph
123,124,Adele,3819479,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb,2016,12,30,Send My Love (To Your New Lover)
124,125,Young M.A,3813380,https://open.spotify.com/track/7JYsArznYOjX2jsrT3UEnL,2016,12,30,OOOUUU
125,126,G-Eazy,3812423,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC,2016,12,30,"Me, Myself & I"
126,127,Niall Horan,3804828,https://open.spotify.com/track/5nA67Y0XX9JipZwYxX7Gl7,2016,12,30,This Town
127,128,IAmChino,3804156,https://open.spotify.com/track/6stYbAJgTszHAHZMPxWWCY,2016,12,30,"Ay Mi Dios (feat. Pitbull, Yandel & Chacal)"
128,129,Jon Bellion,3787799,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m,2016,12,30,All Time Low
129,130,Jonas Blue,3783928,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ,2016,12,30,Fast Car
130,131,J. Cole,3778441,https://open.spotify.com/track/6AGON2BGdPmPMJGiiNuuwl,2016,12,30,Immortal
131,132,The Weeknd,3766577,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI,2016,12,30,Reminder
132,133,Ozuna,3682124,https://open.spotify.com/track/20ZAJdsKB5IGbGj4ilRt2o,2016,12,30,Dile Que Tu Me Quieres
133,134,MØ,3658284,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7,2016,12,30,Final Song
134,135,Major Lazer,3631857,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4,2016,12,30,Lean On (feat. MØ & DJ Snake)
135,136,Paul McCartney,3607798,https://open.spotify.com/track/4gavOCQdZ2g86gkvi17FM7,2016,12,30,Wonderful Christmastime - Remastered 2011 / Edited Version
136,137,Phil Spector,3593955,https://open.spotify.com/track/7wiESxCGoUkRdgZF2JOLZu,2016,12,30,Sleigh Ride
137,138,Chuck Berry,3585299,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ,2016,12,30,Run Rudolph Run - Single Version
138,139,Perry Como,3556525,https://open.spotify.com/track/6IeK3Ap5m3HabwJxgI6eSE,2016,12,30,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)
139,140,Burl Ives,3545756,https://open.spotify.com/track/65Q2mv3UlVi9eO70OpsmSe,2016,12,30,A Holly Jolly Christmas - Single Version
140,141,Maluma,3542282,https://open.spotify.com/track/6DUdDIRgLqCGq1DwkNWQTN,2016,12,30,Borro Cassette
141,142,Michael Bublé,3512996,https://open.spotify.com/track/2gbCG4Rt9984UZ7Tc0dIFd,2016,12,30,White Christmas (with Shania Twain)
142,143,Hearts & Colors,3500923,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo,2016,12,30,Lighthouse - Andrelli Remix
143,144,Galantis,3475690,https://open.spotify.com/track/2MHCiOohBZEQuLgDTPvSzF,2016,12,30,Love on Me
144,145,The Weeknd,3466167,https://open.spotify.com/track/36YCdzT57us0LhDmCYtrNE,2016,12,30,Rockin’
145,146,AJR,3465629,https://open.spotify.com/track/3E2Zh20GDCR9B1EYjfXWyv,2016,12,30,Weak
146,147,Nause,3460528,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg,2016,12,30,Dynamite (feat. Pretty Sister)
147,148,Calum Scott,3454666,https://open.spotify.com/track/02WacdrRpm4zlP8H7X6bnQ,2016,12,30,Dancing On My Own
148,149,Shawn Mendes,3434331,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q,2016,12,30,Stitches
149,150,Ed Sheeran,3414937,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg,2016,12,30,Thinking out Loud
150,151,Adele,3402213,https://open.spotify.com/track/4sPmO7WMQUAf45kwMOtONw,2016,12,30,Hello
151,152,Elton John,3392730,https://open.spotify.com/track/3YQUpKTmtgPJf8u6ooi9KA,2016,12,30,Step Into Christmas
152,153,Chino & Nacho,3388786,https://open.spotify.com/track/5mey7CLLuFToM2P68Qu1gF,2016,12,30,Andas En Mi Cabeza
153,154,The Chainsmokers,3373168,https://open.spotify.com/track/6O6M7pJLABmfBRoGZMu76Y,2016,12,30,Roses
154,155,Justin Bieber,3372990,https://open.spotify.com/track/3pzjHKrQSvXGHQ98dx18HI,2016,12,30,What Do You Mean?
155,156,Michael Bublé,3354418,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE,2016,12,30,Holly Jolly Christmas
156,157,Zara Larsson,3315571,https://open.spotify.com/track/0ADG9OgdVTL7fgREP75BrZ,2016,12,30,Ain't My Fault
157,158,Zara Larsson,3278059,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8,2016,12,30,Lush Life
158,159,Bruce Springsteen,3271383,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee,2016,12,30,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975"
159,160,Cheat Codes,3264349,https://open.spotify.com/track/5DA77EqppDmCTWGovd4oTP,2016,12,30,Sex
160,161,Rihanna,3259649,https://open.spotify.com/track/2aksifNn5ph8igDOkPBA02,2016,12,30,Love On The Brain
161,162,Eartha Kitt,3254640,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO,2016,12,30,Santa Baby (with Henri René & His Orchestra)
162,163,Maluma,3249429,https://open.spotify.com/track/0JoHqmlqE0W0i9prt6kcHR,2016,12,30,Cuatro Babys
163,164,George Michael,3224559,https://open.spotify.com/track/2R7858bg0GHuBBxjTyOL7N,2016,12,30,Careless Whisper
164,165,ZAYN,3202717,https://open.spotify.com/track/0PDUDa38GO8lMxLCRc4lL1,2016,12,30,PILLOWTALK
